department,municipality,non_elec_hh,persons_no_elec,school,health_center,public_lighting,store,restaurant,workshop,entertainment_business,flour_processing
Beni,Exaltación,273.0,1291.0,0.0,0.0,27.0,9.0,9.0,4.0,4.0,1.0
Beni,Guayaramerín,825.0,2373.0,1.0,1.0,82.0,27.0,27.0,13.0,13.0,4.0
Beni,Reyes,711.0,1991.0,1.0,1.0,71.0,23.0,23.0,11.0,11.0,3.0
Beni,Riberalta,2925.0,9103.0,1.0,1.0,292.0,97.0,97.0,48.0,48.0,14.0
Beni,Santa_Rosa_Beni,407.0,1583.0,0.0,0.0,40.0,13.0,13.0,6.0,6.0,2.0
La Paz,Ixiamas,1043.0,3480.0,1.0,1.0,104.0,34.0,34.0,17.0,17.0,5.0
Pando,Bella_Flor,351.0,751.0,0.0,0.0,35.0,11.0,11.0,5.0,5.0,1.0
Pando,Bolpebra,253.0,663.0,0.0,0.0,25.0,8.0,8.0,4.0,4.0,1.0
Pando,Cobija,395.0,1077.0,0.0,0.0,39.0,13.0,13.0,6.0,6.0,1.0
Pando,Filadelfia,594.0,1603.0,0.0,0.0,59.0,19.0,19.0,9.0,9.0,2.0
Pando,Ingavi,261.0,860.0,0.0,0.0,26.0,8.0,8.0,4.0,4.0,1.0
Pando,Nueva_Esperanza,151.0,442.0,0.0,0.0,15.0,5.0,5.0,2.0,2.0,0.0
Pando,Porvenir,213.0,693.0,0.0,0.0,21.0,7.0,7.0,3.0,3.0,1.0
Pando,Puerto_Gonzalo_Moreno,348.0,2116.0,1.0,1.0,34.0,11.0,11.0,5.0,5.0,1.0
Pando,Puerto_Rico,325.0,1078.0,0.0,0.0,32.0,10.0,10.0,5.0,5.0,1.0
Pando,San_Lorenzo,302.0,1462.0,0.0,0.0,30.0,10.0,10.0,5.0,5.0,1.0
Pando,San_Pedro,369.0,2008.0,1.0,1.0,36.0,12.0,12.0,6.0,6.0,1.0
Pando,Santa_Rosa_Pando,149.0,378.0,0.0,0.0,14.0,4.0,4.0,2.0,2.0,0.0
Pando,Santos_Mercado,208.0,684.0,0.0,0.0,20.0,6.0,6.0,3.0,3.0,1.0
Pando,Sena,1073.0,3375.0,1.0,1.0,107.0,35.0,35.0,17.0,17.0,5.0
Pando,Villa_Nueva,213.0,698.0,0.0,0.0,21.0,7.0,7.0,3.0,3.0,1.0
Amazonia_Norte,TOTAL,11389.0,37709.0,7.0,7.0,1130.0,369.0,369.0,178.0,178.0,47.0
